item_fat_content,item_identifier,item_type,outlet_establishment_year,outlet_identifier,outlet_location_type,outlet_size,outlet_type,item_visibility,item_weight,sales,rating
Regular,FDT26,Dairy,2017,OUT035,Tier 2,Small,Supermarket Type1,0.06794066,18.85,119.0440,4
Regular,FDU51,Meat,2014,OUT013,Tier 3,Large,Supermarket Type1,0.09643336,20.20,178.5028,4
Low Fat,FDG40,Frozen Foods,2011,OUT010,Tier 3,Medium,Grocery Store,0.06665779,13.65,32.6558,4
Regular,FDA03,Dairy,2014,OUT013,Tier 3,Large,Supermarket Type1,0.04542594,18.50,144.9102,4
Regular,FDT39,Meat,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.00992373,6.26,152.8366,4
Regular,FDH60,Baking Goods,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.08034606,12.28,195.7110,4
Low Fat,FDH19,Meat,2020,OUT017,Tier 2,Large,Supermarket Type1,0.03327563,19.35,173.8738,5
Low Fat,FDS51,Meat,2016,OUT046,Tier 1,Small,Supermarket Type1,0.03218049,13.35,61.2194,4
Regular,FDR27,Meat,2014,OUT013,Tier 3,Large,Supermarket Type1,0.09602046,15.10,133.7942,4
Low Fat,FDX37,Canned,2011,OUT010,Tier 3,Medium,Grocery Store,0.10549819,16.20,101.4700,4
Low Fat,FDK43,Meat,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.02695010,9.80,128.4020,4
Regular,FDZ14,Dairy,2016,OUT046,Tier 1,Small,Supermarket Type1,0.04758870,7.71,122.4756,4
Regular,FDC16,Dairy,2015,OUT045,Tier 2,Large,Supermarket Type1,0.02061153,11.50,84.9540,3
Regular,FDT50,Dairy,2014,OUT013,Tier 3,Large,Supermarket Type1,0.10814891,6.75,95.6752,5
Regular,FDY37,Canned,2014,OUT013,Tier 3,Large,Supermarket Type1,0.02654677,17.00,142.1470,4
Regular,FDJ15,Dairy,2016,OUT046,Tier 1,Small,Supermarket Type1,0.02332248,11.35,182.5608,5
Low Fat,FDZ27,Dairy,2018,OUT019,Tier 1,Small,Grocery Store,0.00000000,13.43,51.2350,5
Regular,FDS02,Dairy,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.00000000,13.43,196.4794,4
Low Fat,FDP15,Meat,2011,OUT010,Tier 3,Large,Grocery Store,0.00000000,15.20,256.0330,4
Low Fat,FDU23,Breads,2014,OUT013,Tier 3,Large,Supermarket Type1,0.02170542,12.15,163.5184,4
Low Fat,FDS03,Meat,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.07995298,7.83,62.7826,4
Low Fat,NCL31,Others,2018,OUT019,Tier 1,Small,Grocery Store,0.21059649,13.85,144.7470,4
Regular,FDM51,Meat,2014,OUT013,Tier 3,Large,Supermarket Type1,0.02590465,11.80,102.4674,4
Regular,FDW39,Meat,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.03706076,6.69,176.8370,4
Low Fat,FDU23,Breads,2011,OUT010,Tier 3,Medium,Grocery Store,0.03636068,12.15,166.0184,4
Regular,FDA04,Frozen Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.06671738,11.30,260.8962,4
Regular,FDA26,Dairy,2017,OUT035,Tier 2,Small,Supermarket Type1,0.07390646,7.86,218.4482,3
Regular,FDP03,Meat,2016,OUT046,Tier 1,Small,Supermarket Type1,0.06117708,5.15,121.8388,4
Regular,FDK26,Canned,2018,OUT019,Tier 1,Small,Grocery Store,0.05633848,12.31,184.6240,4
Low Fat,FDZ15,Dairy,2017,OUT035,Tier 2,Small,Supermarket Type1,0.00000000,13.10,117.8782,4
Regular,FDC16,Dairy,2017,OUT035,Tier 2,Small,Supermarket Type1,0.02056592,11.50,86.0540,3
Low Fat,FDJ52,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.01781452,7.15,159.8578,5
Low Fat,NCM30,Household,2016,OUT046,Tier 1,Small,Supermarket Type1,0.06729541,19.10,41.9796,4
Regular,FDV48,Baking Goods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.05182712,9.20,77.4644,4
Regular,FDT50,Dairy,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.00000000,6.75,96.7752,4
Low Fat,NCD19,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.00000000,8.93,53.2614,4
Low Fat,NCE42,Household,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.00000000,21.10,233.2958,4
Regular,FDA03,Dairy,2017,OUT035,Tier 2,Small,Supermarket Type1,0.00000000,18.50,144.2102,4
Low Fat,NCK07,Others,2017,OUT035,Tier 2,Small,Supermarket Type1,0.04867748,10.65,166.1526,4
Regular,FDU37,Canned,2016,OUT046,Tier 1,Small,Supermarket Type1,0.00000000,9.50,79.5960,4
Regular,FDD10,Snack Foods,2011,OUT010,Tier 3,Small,Grocery Store,0.07702920,20.60,177.2344,4
Regular,FDJ40,Frozen Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.04957988,13.60,110.0912,4
Low Fat,FDY21,Snack Foods,2011,OUT010,Tier 3,Large,Grocery Store,0.00000000,15.10,197.2110,3
Low Fat,NCD19,Household,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.00000000,8.93,55.4614,4
Low Fat,DRK59,Hard Drinks,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.00000000,8.90,232.9616,4
Regular,FDY28,Frozen Foods,2015,OUT045,Tier 2,Large,Supermarket Type1,0.00000000,7.47,211.8218,4
Low Fat,NCP17,Health and Hygiene,2011,OUT010,Tier 3,Medium,Grocery Store,0.00000000,19.35,65.3168,4
